post_id,type
https://stackoverflow.com/questions/79764954,MNFT
https://stackoverflow.com/questions/79746960,IETI
https://stackoverflow.com/questions/79543676,EPDD
https://stackoverflow.com/questions/79471648,MNFT
https://stackoverflow.com/questions/79110089,ADAL
https://stackoverflow.com/questions/79467575,MNFT
https://stackoverflow.com/questions/79313470,MNFT
https://stackoverflow.com/questions/79295026,LOPE
https://stackoverflow.com/questions/79209784,EPDD
https://stackoverflow.com/questions/79690241,MNFT
https://stackoverflow.com/questions/79729303,ADAL
https://stackoverflow.com/questions/79584413,ALS
https://stackoverflow.com/questions/79530677,EPDD
https://stackoverflow.com/questions/79473112,ALS
https://stackoverflow.com/questions/79432274,MNFT
https://stackoverflow.com/questions/79395145,MNFT
https://stackoverflow.com/questions/79367015,TRE
https://stackoverflow.com/questions/79311940,EPDD
https://stackoverflow.com/questions/79226433,MNFT
https://stackoverflow.com/questions/79800300,TRE
https://stackoverflow.com/questions/79733906,TRE
https://stackoverflow.com/questions/79663606,MNFT
https://stackoverflow.com/questions/78526343,LOPE
https://stackoverflow.com/questions/78509249,LARD
https://stackoverflow.com/questions/78505196,LARD
https://stackoverflow.com/questions/76997109,ADAL
https://stackoverflow.com/questions/76897504,ADAL
https://stackoverflow.com/questions/76742332,ADAL
https://stackoverflow.com/questions/78043994,ADAL
https://stackoverflow.com/questions/78043994,LARD
https://stackoverflow.com/questions/78017053,EPDD
https://stackoverflow.com/questions/78384807,LARD
https://stackoverflow.com/questions/77564230,LARD
https://stackoverflow.com/questions/78355009,TRE
https://stackoverflow.com/questions/76539002,MNFT
https://stackoverflow.com/questions/75621565,LARD
https://stackoverflow.com/questions/78667107,LARD
https://stackoverflow.com/questions/78627285,EPDD
https://stackoverflow.com/questions/78171598,LOPE
https://stackoverflow.com/questions/78171598,MNFT
https://stackoverflow.com/questions/77391069,LOPE
https://stackoverflow.com/questions/77711045,ADAL
https://stackoverflow.com/questions/77711045,LARD
https://stackoverflow.com/questions/78290935,LOPE
https://stackoverflow.com/questions/78290935,MNFT
https://stackoverflow.com/questions/77071419,IETI
https://stackoverflow.com/questions/77071419,MNFT
https://stackoverflow.com/questions/77448062,LOPE
https://stackoverflow.com/questions/76421921,LOPE
https://stackoverflow.com/questions/77705114,ADAL
https://stackoverflow.com/questions/78328366,LOPE
https://stackoverflow.com/questions/77148279,LOPE
https://stackoverflow.com/questions/78223405,ADAL
https://stackoverflow.com/questions/76062338,MNFT
https://stackoverflow.com/questions/77457590,EPDD
https://stackoverflow.com/questions/77457590,LARD
https://stackoverflow.com/questions/78066387,LOPE
https://stackoverflow.com/questions/77129245,LOPE
https://stackoverflow.com/questions/76530058,TRE
https://stackoverflow.com/questions/78329996,TRE
https://stackoverflow.com/questions/77455122,LARD
https://stackoverflow.com/questions/77455122,TRE
https://stackoverflow.com/questions/78354163,LARD
https://stackoverflow.com/questions/77289721,MNFT
https://stackoverflow.com/questions/76364591,MNFT
https://stackoverflow.com/questions/77204383,LARD
https://stackoverflow.com/questions/76706171,ADAL
https://stackoverflow.com/questions/78444988,IETI
https://stackoverflow.com/questions/78444988,MNFT
https://stackoverflow.com/questions/77746791,ALS
https://stackoverflow.com/questions/77398891,IETI
https://stackoverflow.com/questions/78466708,ADAL
https://stackoverflow.com/questions/76980661,LOPE
https://stackoverflow.com/questions/76366589,IETI
https://stackoverflow.com/questions/77372944,MNFT
https://stackoverflow.com/questions/77127583,LARD
https://stackoverflow.com/questions/77434618,ADAL
https://stackoverflow.com/questions/77434618,LARD
https://stackoverflow.com/questions/77068184,LARD
https://stackoverflow.com/questions/77055206,LOPE
https://stackoverflow.com/questions/77981735,MNFT
https://stackoverflow.com/questions/76697477,LOPE
https://stackoverflow.com/questions/76794015,MNFT
https://stackoverflow.com/questions/77089403,LOPE
https://stackoverflow.com/questions/77190232,MNFT
https://stackoverflow.com/questions/77237067,LARD
https://stackoverflow.com/questions/76581367,LOPE
https://stackoverflow.com/questions/76077652,LOPE
https://stackoverflow.com/questions/77491941,ADAL
https://stackoverflow.com/questions/77039247,LOPE
https://stackoverflow.com/questions/77039247,MNFT
https://stackoverflow.com/questions/76289498,LOPE
https://stackoverflow.com/questions/76517720,MNFT
https://stackoverflow.com/questions/77161157,LARD
https://stackoverflow.com/questions/77459534,LOPE
https://stackoverflow.com/questions/77074291,MNFT
https://stackoverflow.com/questions/77899036,IETI
https://stackoverflow.com/questions/78335951,ADAL
https://stackoverflow.com/questions/77744941,EPDD
https://stackoverflow.com/questions/77744941,IETI
https://stackoverflow.com/questions/78051789,MNFT
https://stackoverflow.com/questions/76413576,ADAL
https://stackoverflow.com/questions/77110704,TRE
https://stackoverflow.com/questions/76610428,LOPE
https://stackoverflow.com/questions/76610428,MNFT
https://stackoverflow.com/questions/77272952,LARD
https://stackoverflow.com/questions/77521121,MNFT
https://stackoverflow.com/questions/77582116,LOPE
https://stackoverflow.com/questions/77441399,ADAL
https://stackoverflow.com/questions/77276788,ADAL
https://stackoverflow.com/questions/77276788,LARD
https://stackoverflow.com/questions/77781183,LARD
https://stackoverflow.com/questions/78568859,MNFT
https://stackoverflow.com/questions/78439451,ADAL
https://stackoverflow.com/questions/78439451,LARD
https://stackoverflow.com/questions/76867963,IETI
https://stackoverflow.com/questions/76867963,MNFT
https://stackoverflow.com/questions/77186386,LOPE
https://stackoverflow.com/questions/78553008,ALS
https://stackoverflow.com/questions/77930568,LARD
https://stackoverflow.com/questions/78569200,LARD
https://stackoverflow.com/questions/78591326,LARD
https://stackoverflow.com/questions/78628145,ADAL
https://stackoverflow.com/questions/78628145,LOPE
https://stackoverflow.com/questions/76906469,IETI
https://stackoverflow.com/questions/76388150,MNFT
https://stackoverflow.com/questions/77159432,IETI
https://stackoverflow.com/questions/78925963,ADAL
https://stackoverflow.com/questions/78925963,MNFT
https://stackoverflow.com/questions/77145632,LARD
https://stackoverflow.com/questions/78004857,EPDD
https://stackoverflow.com/questions/77921807,LOPE
https://stackoverflow.com/questions/75952371,LARD
https://stackoverflow.com/questions/76554411,LOPE
https://stackoverflow.com/questions/78269598,LARD
https://stackoverflow.com/questions/77305589,LARD
https://stackoverflow.com/questions/77305589,LOPE
https://stackoverflow.com/questions/78474836,LOPE
https://stackoverflow.com/questions/77785558,ADAL
https://stackoverflow.com/questions/77785558,LARD
https://stackoverflow.com/questions/77696025,LOPE
https://stackoverflow.com/questions/77596649,LARD
https://stackoverflow.com/questions/76137512,LARD
https://stackoverflow.com/questions/76961512,IETI
https://stackoverflow.com/questions/76961512,LOPE
https://stackoverflow.com/questions/76110329,LOPE
https://stackoverflow.com/questions/77104998,LARD
https://stackoverflow.com/questions/78263034,LOPE
https://stackoverflow.com/questions/77385740,LARD
https://stackoverflow.com/questions/78187507,EPDD
https://stackoverflow.com/questions/76200691,TRE
https://stackoverflow.com/questions/77073059,LARD
https://stackoverflow.com/questions/77608241,IETI
https://stackoverflow.com/questions/77608241,TRE
https://stackoverflow.com/questions/76062394,ADAL
https://stackoverflow.com/questions/77402963,IETI
https://stackoverflow.com/questions/75878060,MNFT
https://stackoverflow.com/questions/77839844,LOPE
https://stackoverflow.com/questions/78020395,LOPE
https://stackoverflow.com/questions/76344997,LARD
https://stackoverflow.com/questions/77151852,LARD
https://stackoverflow.com/questions/77151852,LOPE
https://stackoverflow.com/questions/76247540,EPDD
https://stackoverflow.com/questions/76701829,ADAL
https://stackoverflow.com/questions/75884448,LARD
https://stackoverflow.com/questions/77492026,LOPE
https://stackoverflow.com/questions/77610247,LARD
https://stackoverflow.com/questions/76877589,LOPE
https://stackoverflow.com/questions/77005442,ADAL
https://stackoverflow.com/questions/77005442,LARD
https://stackoverflow.com/questions/78485621,LOPE
https://stackoverflow.com/questions/77057028,LARD
https://stackoverflow.com/questions/77452363,LOPE
https://stackoverflow.com/questions/76288488,EPDD
https://stackoverflow.com/questions/77686877,ADAL
https://stackoverflow.com/questions/76686232,LARD
https://stackoverflow.com/questions/76266382,EPDD
https://stackoverflow.com/questions/76293427,ADAL
https://stackoverflow.com/questions/76293427,LARD
https://stackoverflow.com/questions/78591465,LOPE
https://stackoverflow.com/questions/78521181,ADAL
https://stackoverflow.com/questions/78449044,LARD
https://stackoverflow.com/questions/78429932,ALS
https://stackoverflow.com/questions/76329949,LOPE
https://stackoverflow.com/questions/78838899,IETI
https://stackoverflow.com/questions/78836094,LOPE
https://stackoverflow.com/questions/78819645,EPDD
https://stackoverflow.com/questions/78734833,LARD
https://stackoverflow.com/questions/78733721,LOPE
https://stackoverflow.com/questions/78689216,LOPE
https://stackoverflow.com/questions/78685685,LARD
https://stackoverflow.com/questions/78648116,LARD
https://stackoverflow.com/questions/78574282,LARD
https://stackoverflow.com/questions/78307073,EPDD
https://stackoverflow.com/questions/78307073,MNFT
https://stackoverflow.com/questions/78271911,IETI
https://stackoverflow.com/questions/78271911,LARD
https://stackoverflow.com/questions/78199269,LARD
https://stackoverflow.com/questions/78199269,LOPE
https://stackoverflow.com/questions/78216871,LOPE
https://stackoverflow.com/questions/78026820,LARD
https://stackoverflow.com/questions/78052517,LOPE
https://stackoverflow.com/questions/77998898,MNFT
https://stackoverflow.com/questions/78188862,TRE
https://stackoverflow.com/questions/78165764,LARD
https://stackoverflow.com/questions/78171159,MNFT
https://stackoverflow.com/questions/77962777,LARD
https://stackoverflow.com/questions/77930113,LARD
https://stackoverflow.com/questions/77828572,LOPE
https://stackoverflow.com/questions/77446419,LARD
https://stackoverflow.com/questions/77868284,LARD
https://stackoverflow.com/questions/77570838,LARD
https://stackoverflow.com/questions/77557699,LOPE
https://stackoverflow.com/questions/77536364,LOPE
https://stackoverflow.com/questions/77462188,TRE
https://stackoverflow.com/questions/77464554,MNFT
https://stackoverflow.com/questions/77464554,TRE
https://stackoverflow.com/questions/77438980,ADAL
https://stackoverflow.com/questions/78656632,ADAL
https://stackoverflow.com/questions/78728825,EPDD
https://stackoverflow.com/questions/78748463,EPDD
https://stackoverflow.com/questions/78881661,LARD
https://stackoverflow.com/questions/78904911,EPDD
https://stackoverflow.com/questions/78912227,LOPE
https://stackoverflow.com/questions/78919818,ADAL
https://stackoverflow.com/questions/78543858,EPDD
https://stackoverflow.com/questions/78549270,LARD
https://stackoverflow.com/questions/78552532,EPDD
https://stackoverflow.com/questions/78593700,EPDD
https://stackoverflow.com/questions/78599128,LARD
https://stackoverflow.com/questions/78200621,LOPE
https://stackoverflow.com/questions/78256389,LARD
https://stackoverflow.com/questions/78268258,LARD
https://stackoverflow.com/questions/78270250,EPDD
https://stackoverflow.com/questions/78304473,IETI
https://stackoverflow.com/questions/78304473,TRE
https://stackoverflow.com/questions/78314415,EPDD
https://stackoverflow.com/questions/78352556,EPDD
https://stackoverflow.com/questions/78357062,EPDD
https://stackoverflow.com/questions/77520963,LARD
https://stackoverflow.com/questions/77581888,EPDD
https://stackoverflow.com/questions/77645110,LOPE
https://stackoverflow.com/questions/77660869,LOPE
https://stackoverflow.com/questions/77679383,EPDD
https://stackoverflow.com/questions/77683730,EPDD
https://stackoverflow.com/questions/77683730,LARD
https://stackoverflow.com/questions/77759618,LOPE
https://stackoverflow.com/questions/78013937,LARD
https://stackoverflow.com/questions/77758436,LOPE
https://stackoverflow.com/questions/77702938,LARD
https://stackoverflow.com/questions/78161613,EPDD
https://stackoverflow.com/questions/78581041,ADAL
https://stackoverflow.com/questions/78581041,LARD